  1 G000.1169-00.5703 17 48 07.70 -29 07 55.5  38  44 <  0.074 <  0.150 <  0.086    0.255    8.730   28.300 < 22.000   126.5  92 -99
 41 G013.6983-00.1619 18 15 52.56 -17 07 32.2  14   5 <  0.022 <  0.013 <  0.023    0.050    0.962    1.350 <  1.700    17.6 117 -99
 42 G013.7085-00.2417 18 16 11.41 -17 09 16.7   6   7 <  0.009 <  0.016 <  0.031 <  0.072    3.801   10.500    7.400    94.9  96  61
 43 G013.7925-00.2591 18 16 25.29 -17 05 20.5  10   7 <  0.002 <  0.002 <  0.002 <  0.027    1.105 <  0.200 <  0.900   -99.9 -99 -99
 44 G014.3151+00.1319 18 16 01.43 -16 26 36.0  23  11 <  0.047 <  0.059 <  0.001 <  0.021   18.801   15.000 <  1.370    38.7 145 -99
 45 G014.3196-00.1376 18 17 01.31 -16 34 03.2   6   6 <  0.011 <  0.746 <  0.015 <  0.042    0.477    2.800 <  2.500    17.6  80 -99
 46 G014.4703-00.6427 18 19 10.60 -16 40 27.0  18  19 <  0.048 <  0.054 <  0.028    0.043   33.725   14.000 <  6.000    49.2 204 -99
 47 G014.5184+00.2255 18 16 05.05 -16 13 11.9   9   8 <  0.017 <  0.012 <  0.012 <  0.001    0.555 <  0.300 <  0.800   -99.9 -99 -99
 48 G014.6202+00.8992 18 13 49.35 -15 48 32.5  11   8 <  0.007 <  0.003 <  0.005 <  0.005    0.590 <  0.100 <  0.800   -99.9 -99 -99
 49 G014.6528-00.3700 18 18 32.06 -16 23 03.8   8  10 <  0.001 <  0.003 <  0.048    0.050    6.831    3.560 <  2.000    21.1 178 -99
 50 G014.6719-00.4770 18 18 57.91 -16 25 05.5  11   9 <  0.030 <  0.021 <  0.034 <  0.105   20.425    6.510 <  0.700    31.6 248 -99
 51 G015.0749-00.6461 18 20 22.75 -16 08 34.2   3   3  -99.999  -99.999  -99.999  -99.999  -99.999  -99.999  -99.999   -99.9 -99 -99
 52 G015.0812-00.6570 18 20 25.91 -16 08 32.4   3   3  -99.999  -99.999  -99.999  -99.999  -99.999  -99.999  -99.999   -99.9 -99 -99
 53 G015.1032-00.6489 18 20 26.71 -16 07 09.1   3   3  -99.999  -99.999  -99.999  -99.999  -99.999  -99.999  -99.999   -99.9 -99 -99
 55 G015.2253+00.3578 18 16 59.88 -15 32 06.8  19  14 <  0.163 <  0.112 <  0.068 <  0.043    0.798    1.740 <  0.650    10.6 102 -99
 56 G015.2977+00.3178 18 17 17.22 -15 29 25.8  20  13 <  0.207 <  0.128 <  0.088 <  0.073    1.015    0.780 <  0.500     7.0 147 -99
 57 G015.3315-00.3692 18 19 52.02 -15 47 09.4   9   8 <  0.009 <  0.013 <  0.013 <  0.024    5.538    1.240 <  0.800    17.6 361 -99
 58 G015.3322-00.2538 18 19 26.74 -15 43 51.0  10   8 <  0.024 <  0.020 <  0.011 <  0.038    4.364 <  0.600 <  1.400   -99.9 -99 -99
 59 G015.8313-00.7623 18 22 17.11 -15 31 48.4   9   7 <  0.041 <  0.032 <  0.018 <  0.017    4.337    1.700 <  0.790    14.1 212 -99
 60 G016.4391-00.8109 18 23 38.70 -15 00 58.1  13  10 <  0.034 <  0.026 <  0.030    0.040    5.299    1.900 <  1.400    21.1 226 -99
 61 G016.8118+00.6679 18 18 58.73 -13 59 28.7  20  18 <  0.113 <  0.097 <  0.643 <  1.916   17.900 <  9.000 <  8.000   -99.9 -99 -99
 62 G016.8760+00.6456 18 19 11.09 -13 56 43.0   7   7 <  0.054 <  0.051 <  0.057 <  0.045    5.143 <  2.400 <  1.700   -99.9 -99 -99
 63 G016.8930+00.6800 18 19 05.58 -13 54 50.6   8  10 <  0.361 <  0.234 <  0.116    0.600   14.306 <  0.800 <  6.100   -99.9 -99 -99
 65 G016.9278+00.6323 18 19 20.04 -13 54 21.3   7   8 <  0.010 <  0.007 <  0.022 <  0.015    4.147 <  1.200 <  2.000   -99.9 -99 -99
 67 G017.0826+00.9744 18 18 23.65 -13 36 27.9   9   9 <  0.053 <  0.064 <  0.024    0.310   27.659    4.410 <  5.400    38.7 708 -99
 68 G017.1263+01.0462 18 18 13.14 -13 32 07.0   6   7 <  0.013 <  0.042 <  0.031    0.141    1.901 <  8.100 <  7.400   -99.9 -99 -99
 69 G017.2748-00.4885 18 24 05.08 -14 07 36.5  11  10 <  0.170 <  0.118 <  0.091 <  0.034    1.581 <  0.600 <  3.100   -99.9 -99 -99
 70 G017.7109-00.3881 18 24 33.59 -13 41 39.8   5   6 <  0.004 <  0.003 <  0.011 <  0.009    1.470    0.610    0.470    14.1 204  57
 71 G017.8231+00.4343 18 21 47.33 -13 12 34.7   6   7 <  0.007 <  0.170 <  0.008 <  0.030    0.570    1.250 <  2.100    10.6 102 -99
 72 G018.2660-00.2988 18 25 18.13 -13 09 43.0  26  26 <  0.058 <  0.030 <  0.478    1.995   47.300   98.000 < 24.000   358.5 104 -99
 73 G018.3242-00.9253 18 27 41.51 -13 24 08.7  10   8 <  0.060 <  0.030 <  0.020    0.024    6.670    4.170    5.080    28.1 162  46
 74 G018.5647-00.5084 18 26 38.14 -12 59 43.8   7   8 <  0.010 <  0.020 <  0.013 <  0.048    2.128 <  0.490 <  2.900   -99.9 -99 -99
 75 G018.6445-00.6650 18 27 21.43 -12 59 52.2   5   6 <  0.020 <  0.010 <  0.010    0.040    0.440    0.350 <  1.100     7.0 145 -99
 76 G018.9724+00.3004 18 24 29.04 -12 15 26.5  32  20 <  0.188 <  0.097 <  0.160 <  0.760   13.091   11.100 < 15.000    14.1 141 -99
 77 G019.0322+00.4252 18 24 08.83 -12 08 46.1   9   9 <  0.051 <  0.037 <  0.066 <  0.103    2.053 <  3.400 <  4.600   -99.9 -99 -99
 78 G019.0965-00.7074 18 28 22.32 -12 37 02.9   7   8 <  0.006 <  0.008 <  0.020 <  0.024    1.495    0.400 <  0.210    17.6 293 -99
 79 G019.3616+00.4490 18 24 41.48 -11 50 37.9   8   6 <  0.073 <  0.042 <  0.032 <  0.030    0.443    0.750 <  0.300    10.6 110 -99
 80 G019.7159-00.2596 18 27 55.71 -11 51 39.1  10  13 <  0.020 <  0.010 <  0.014 <  0.018    2.474 <  7.000 <  4.700   -99.9 -99 -99
 81 G019.7211-00.2822 18 28 01.21 -11 52 00.3   5   6 <  0.016 <  0.012 <  0.010 <  0.010    0.289    0.500 <  0.570     7.0 110 -99
 82 G019.7815+00.2865 18 26 04.75 -11 32 54.5   8   5 <  0.005 <  0.010 <  0.010    0.060    6.300    3.900    3.400    52.7 163  54
 83 G019.8107+00.0965 18 26 49.18 -11 36 42.5   6   7 <  0.003 <  0.002 <  0.010    0.016    0.075    0.370    0.710     7.0  84  38
 84 G019.8405+00.2998 18 26 08.61 -11 19 24.2   6   7 <  0.020 <  0.013 <  0.007    0.065    1.070    1.420    1.610    21.1 119  47
 85 G019.8414+00.0494 18 27 02.97 -11 36 21.5  10   8 <  0.022 <  0.012 <  0.006 <  0.007    0.540 <  0.260 <  0.180   -99.9 -99 -99
 86 G019.9660+00.4735 18 25 45.33 -11 17 52.9   5   6 <  0.048 <  0.030 <  0.031 <  0.001    0.958    0.330 <  0.590     7.0 233 -99
 87 G020.0985-00.7442 18 30 24.48 -11 44 45.3  13   9 <  0.032 <  0.026 <  0.014 <  0.044    3.043    2.740 <  0.340    24.6 138 -99
 88 G020.3592+00.1900 18 27 31.52 -11 04 56.1  10   8 <  0.016 <  0.013 <  0.025 <  0.020    0.307    0.560 <  1.200     7.0 108 -99
 89 G021.3962-00.6159 18 32 23.44 -10 32 13.1   5   5 <  0.001 <  0.001 <  0.004 <  0.017    0.232 <  0.100 <  0.400   -99.9 -99 -99
 90 G021.4977-00.4628 18 32 01.75 -10 22 34.4   6   7 <  0.039 <  0.023 <  0.040 <  0.070    1.221    2.310 <  1.610    35.2 107 -99
 91 G021.5562+00.2488 18 29 34.55 -09 59 41.7   8   7 <  0.033 <  0.021 <  0.016 <  0.005    0.484    0.510 <  0.990     7.0 129 -99
 92 G021.7243-00.1543 18 31 20.59 -10 01 57.6   6   6 <  0.027 <  0.019 <  0.025 <  0.020    0.253 <  0.070 <  0.340   -99.9 -99 -99
 93 G022.0817+00.5951 18 29 19.20 -09 22 07.5   6   9 <  0.021 <  0.014 <  0.012 <  0.002    1.835    0.750 <  0.600     5.3 206 -99
 94 G022.2601+00.6640 18 29 24.47 -09 10 43.6  10  10 <  0.010 <  0.015 <  0.004 <  0.026    0.294    0.910 <  1.880     3.5  93 -99
 95 G022.4107+00.0403 18 31 55.86 -09 20 02.6   4   5 <  0.003 <  0.005 <  0.005 <  0.003    0.781 <  0.340 <  1.280   -99.9 -99 -99
 96 G022.4119-00.2010 18 32 48.06 -09 26 40.1   9  10 <  0.005 <  0.023 <  0.021 <  0.020    6.195 <  5.600 <  1.300   -99.9 -99 -99
 97 G022.4494+00.6869 18 29 40.88 -09 00 01.6   8   7 <  0.008 <  0.005 <  0.006 <  0.009    0.174 <  0.100 <  0.390   -99.9 -99 -99
 98 G022.4699+00.1069 18 31 48.15 -09 15 02.8   5   7 <  0.054 <  0.032 <  0.083 <  0.071    1.328    1.610 <  1.940    24.6 123 -99
 99 G022.9084-00.0552 18 33 12.32 -08 56 12.2  16  15 <  0.110 <  0.102 <  0.080    0.044   15.851   19.100    9.060   105.4 123  82
100 G023.0958+00.4411 18 31 46.45 -08 32 28.7   5   7 <  0.012 <  0.007 <  0.009 <  0.023    1.844    0.320 <  0.860     3.5 566 -99
101 G023.1100+00.5458 18 31 25.52 -08 28 49.1  11   9 <  0.098 <  0.080 <  0.121    0.420   22.103    9.800 <  0.600    94.9 196 -99
102 G023.3731+00.4508 18 32 15.45 -08 17 27.3   7  10 <  0.075 <  0.067    0.362    0.853   12.483 <  0.100 <  0.260   -99.9 -99 -99
103 G023.7793-00.7918 18 37 28.42 -08 30 09.2   5   5 <  0.012 <  0.010 <  0.006 <  0.002    0.254 <  0.350 <  0.820   -99.9 -99 -99
