# Cuts through the PSF

# Note that for the two diagonal cuts, the positions have to be
# computed as x*sqrt(2).

#x [pixels]     psf(x,0)     psf(0,x)     psf(x,x)    psf(x,-x)
        -87 6.729867e-08 6.734875e-08 7.839817e-07 7.839817e-07
        -86 9.939711e-08 1.074603e-07 8.840313e-07 8.896068e-08
        -85 8.566776e-08 1.195931e-07 8.977428e-07 1.320221e-07
        -84 8.957770e-08 1.198041e-07 9.018071e-07 1.472093e-07
        -83 8.206258e-08 1.275481e-07 7.659915e-07 1.476831e-07
        -82 8.103228e-08 1.442360e-07 6.732784e-07 1.510006e-07
        -81 8.785994e-08 1.511730e-07 7.219467e-07 1.528057e-07
        -80 9.768202e-08 1.499442e-07 7.284862e-07 1.512215e-07
        -79 1.171931e-07 1.664478e-07 7.408420e-07 1.316421e-07
        -78 1.209187e-07 1.788226e-07 7.984519e-07 1.282510e-07
        -77 1.318863e-07 1.682464e-07 7.176987e-07 1.225729e-07
        -76 1.712792e-07 1.678337e-07 6.254044e-07 9.799927e-08
        -75 2.000177e-07 1.787504e-07 6.370452e-07 8.322498e-08
        -74 1.992292e-07 1.943380e-07 5.854801e-07 8.504148e-08
        -73 2.312251e-07 1.942495e-07 5.245073e-07 7.834478e-08
        -72 2.706144e-07 2.091222e-07 6.090098e-07 6.965325e-08
        -71 2.769628e-07 2.443460e-07 7.186433e-07 7.987073e-08
        -70 2.817465e-07 2.372731e-07 7.474146e-07 1.001621e-07
        -69 2.925804e-07 2.110421e-07 7.467945e-07 1.234915e-07
        -68 3.010861e-07 2.256043e-07 7.825336e-07 1.598195e-07
        -67 3.095310e-07 2.702356e-07 9.132941e-07 2.061198e-07
        -66 3.094517e-07 2.880978e-07 1.151860e-06 2.914663e-07
        -65 3.191611e-07 2.916619e-07 1.408992e-06 3.608438e-07
        -64 3.210050e-07 3.145016e-07 1.556019e-06 4.223546e-07
        -63 3.239933e-07 3.615782e-07 1.584957e-06 5.105225e-07
        -62 3.444656e-07 4.133114e-07 1.544650e-06 5.729869e-07
        -61 3.710007e-07 4.471691e-07 1.515944e-06 5.981778e-07
        -60 3.896485e-07 4.538380e-07 1.504570e-06 6.126933e-07
        -59 4.093698e-07 4.365935e-07 1.536484e-06 6.279454e-07
        -58 4.945123e-07 4.500757e-07 1.607908e-06 6.046244e-07
        -57 6.245966e-07 4.933397e-07 1.660937e-06 5.634433e-07
        -56 7.317969e-07 5.175829e-07 1.674430e-06 5.526105e-07
        -55 7.968773e-07 5.143858e-07 1.753302e-06 5.307131e-07
        -54 8.442240e-07 5.377734e-07 1.891154e-06 4.901673e-07
        -53 9.076012e-07 5.553285e-07 2.043792e-06 4.600410e-07
        -52 1.060683e-06 5.822284e-07 2.322671e-06 4.302225e-07
        -51 1.267729e-06 5.979069e-07 2.735809e-06 3.930994e-07
        -50 1.468332e-06 6.325461e-07 3.284234e-06 3.536575e-07
        -49 1.688284e-06 7.760760e-07 3.786683e-06 3.665299e-07
        -48 2.161000e-06 1.055954e-06 3.990219e-06 4.757473e-07
        -47 2.833916e-06 1.419741e-06 3.864837e-06 6.636165e-07
        -46 3.510054e-06 1.847762e-06 3.773446e-06 8.905482e-07
        -45 4.041567e-06 2.396258e-06 4.323081e-06 1.241731e-06
        -44 4.501047e-06 2.961075e-06 6.141289e-06 1.610156e-06
        -43 4.911819e-06 3.311360e-06 9.549251e-06 1.976000e-06
        -42 4.926318e-06 3.571405e-06 1.436919e-05 2.342888e-06
        -41 4.641127e-06 3.875931e-06 1.884972e-05 2.849224e-06
        -40 4.183962e-06 3.829893e-06 2.108536e-05 3.364004e-06
        -39 3.610442e-06 3.424178e-06 2.005942e-05 3.778244e-06
        -38 3.467235e-06 3.308073e-06 1.590819e-05 4.415310e-06
        -37 3.923114e-06 3.304120e-06 1.131268e-05 5.225581e-06
        -36 4.509420e-06 3.142176e-06 9.346971e-06 5.655345e-06
        -35 5.009214e-06 3.086818e-06 1.204701e-05 6.359568e-06
        -34 5.757282e-06 3.029519e-06 2.083915e-05 6.830908e-06
        -33 6.220031e-06 2.792128e-06 3.037646e-05 6.923728e-06
        -32 6.126219e-06 2.931580e-06 3.639453e-05 6.964362e-06
        -31 6.014572e-06 4.262224e-06 3.626897e-05 6.562210e-06
        -30 5.436241e-06 5.671917e-06 3.007030e-05 6.103949e-06
        -29 4.511778e-06 6.285304e-06 2.291531e-05 5.784632e-06
        -28 4.088787e-06 5.858116e-06 1.813450e-05 5.454262e-06
        -27 4.013456e-06 4.696809e-06 1.683883e-05 4.895731e-06
        -26 4.207592e-06 3.710901e-06 1.975650e-05 4.383293e-06
        -25 4.121875e-06 3.800285e-06 2.255728e-05 4.340778e-06
        -24 3.641052e-06 4.507572e-06 2.386945e-05 5.465347e-06
        -23 3.248636e-06 6.174287e-06 1.962482e-05 6.374993e-06
        -22 3.466371e-06 8.616146e-06 1.780865e-05 6.432171e-06
        -21 6.200453e-06 1.129277e-05 3.213364e-05 8.324550e-06
        -20 7.867001e-06 1.193250e-05 5.617745e-05 1.294348e-05
        -19 7.967255e-06 1.140537e-05 9.139752e-05 1.742482e-05
        -18 9.172530e-06 1.416462e-05 1.324554e-04 1.779633e-05
        -17 1.203311e-05 1.936550e-05 1.365373e-04 2.377755e-05
        -16 1.438461e-05 2.530802e-05 1.110831e-04 3.591831e-05
        -15 2.028896e-05 3.481489e-05 7.125137e-05 4.694761e-05
        -14 3.138400e-05 4.837315e-05 2.229631e-05 5.482257e-05
        -13 3.025810e-05 5.054799e-05 2.369466e-05 7.015603e-05
        -12 5.917821e-05 7.263440e-05 1.286261e-04 9.177066e-05
