wav	band	I_nu	d I_nu
4.618	WISE-2	-0.015356646925760572	0.16196210340068884
5.731	IRAC-3	-0.05125920516575744	0.2083278613434515
8.0	IRAC-4	0.4530130426052992	0.1746771393020441
8.28	MSX-A	0.18628240837050053	0.0646844089311792
12.082	WISE-3	2.6677632617086746	0.4122342503493336
12.13	MSX-C	2.542990111202893	0.9466398325814973
14.65	MSX-D	6.713396790030918	2.511345047953739
21.34	MSX-E	34.47366216825963	8.933175455907616
22.194	WISE-4	30.599735704924605	2.4535846171697107
23.68	MIPS-1	31.530217170407994	1.280994787416848
65.0	AKARI-N60	21.501476287841797	2.201425075531006
70.0	PACS-B	33.51948337186777	4.458477876065268
71.42	MIPS-2	17.24154290941027	6.386099082099065
90.0	AKARI-WideS	10.04772961139679	1.9178465604782104
140.0	AKARI-WideL	18.421502113342285	22.800089836120605
155.9	MIPS-3	5.336784861589493	1.7274851914718852
160.0	PACS-R	6.146331913897126	0.3529583040678005
250.0	SPIRE-250	1.7735815328890006	0.43710090733067414
363.0	SPIRE-350	1.2137051136164263	0.4935818725050046
517.0	SPIRE-500	0.5034958873794635	0.184287361812621
