wav	band	I_nu	d I_nu
4.618	WISE-2	-0.005578537060884891	0.03426286128464188
5.731	IRAC-3	0.05263044749026857	0.0661323438810184
8.0	IRAC-4	0.21990495867070425	0.09834782717861268
12.082	WISE-3	0.08485205156450755	0.04983472916488297
22.194	WISE-4	0.029410437431266017	0.5743002771401708
23.68	MIPS-1	0.009090656232807248	0.5346663028413945
65.0	AKARI-N60	1.0668685843735375	9.240417062889344
70.0	PACS-B	0.004340886260056858	1.983458533711491
71.42	MIPS-2	-1.3692394448286365	2.642490880014979
90.0	AKARI-WideS	1.9269879689162863	2.233047061532135
140.0	AKARI-WideL	9.157793174669905	9.645397659763807
155.9	MIPS-3	1.958971881191374	3.484026075796211
160.0	PACS-R	0.8924399766311133	4.653991328553838
250.0	SPIRE-250	0.20487000621624094	2.6498602046409077
363.0	SPIRE-350	0.0475263988985841	1.3221322657428733
517.0	SPIRE-500	-0.06826668345374416	0.5374307946910054
