T	24/70	160/350
1.0	3.6176251606065167e-116	8.100585907380963e-20
2.0	5.969439832720388e-58	1.888865197365595e-09
3.0	1.496436743247267e-38	5.330247465451019e-06
4.0	7.447635922015349e-29	0.0002854722905460928
5.0	4.8878619938689485e-23	0.0031404702025592574
6.0	3.692569177137599e-19	0.015630554149809364
7.0	2.1804591944372495e-16	0.049338041447278574
8.0	2.6219570147544198e-14	0.11695830488138677
9.0	1.0925537023925088e-12	0.22878860517561006
10.0	2.16969723064091e-11	0.3908892815267452
11.0	2.5146053171475214e-10	0.6048871806781592
12.0	1.946423605861954e-09	0.8687389032497478
13.0	1.1046214742604163e-08	1.177832636131162
14.0	4.912531789965371e-08	1.52605339063925
15.0	1.7975970622377238e-07	1.9066452268054186
16.0	5.61366531831481e-07	2.3128315977025973
17.0	1.5385000589832212e-06	2.7382173991300585
18.0	3.781591453876694e-06	3.17701880256381
19.0	8.480450785214033e-06	3.6241687846193504
20.0	1.7590640827411277e-05	4.075339315495248
21.0	3.4125530001302756e-05	4.526911781651503
22.0	6.248166392442832e-05	4.975918344132485
23.0	0.00010878178878769663	5.4199696621025595
24.0	0.00018121861005802002	5.8571789171139645
25.0	0.00029038296338478893	6.286088148180109
26.0	0.00044956206494198845	6.7056002251984985
27.0	0.0006749963750427914	7.114918028791966
28.0	0.000986086866633106	7.513491300193842
29.0	0.00140554774938592	7.900970968698398
30.0	0.00195950268577147	8.277170405171027
31.0	0.002677525081977594	8.64203288153726
32.0	0.003592625068278641	8.995604465088618
33.0	0.004741187291532676	9.338011594230315
34.0	0.006162864662558116	9.669442637369979
35.0	0.007900433794732842	9.990132809073767
36.0	0.009999618110556668	10.300351895253419
37.0	0.0125088845552555	10.600394314951519
38.0	0.015479219611423926	10.890571116490785
39.0	0.01896388991874401	11.171203568611318
40.0	0.023018192320804785	11.442618062236397
41.0	0.027699197629782447	11.705142085886417
42.0	0.03306549185254732	11.959101078081881
43.0	0.03917691808348827	12.204815994089042
44.0	0.046094321757566406	12.442601452860517
45.0	0.05387930148341485	12.67276435378013
46.0	0.06259396724746763	12.895602872546029
47.0	0.0723007073992059	13.111405761853572
48.0	0.08306196549495216	13.320451896021394
49.0	0.09494002779155829	13.523010009816446
50.0	0.10799682193881194	13.719338590878195
51.0	0.12229372721662465	13.909685892659372
52.0	0.1378913964958204	14.094290040972977
53.0	0.15484958996527004	14.27337921230009
54.0	0.17322702055894992	14.447171866165169
55.0	0.19308121093021458	14.61587701728761
56.0	0.2144683617534798	14.779694536003667
57.0	0.23744323108228582	14.938815467731342
58.0	0.2620590244544545	15.093422364113707
59.0	0.28836729540723727	15.243689619996783
60.0	0.3164178560458578	15.389783811639035
61.0	0.3462586972958736	15.531864032559875
62.0	0.37793591846187075	15.670082224256426
63.0	0.41149366571096485	15.804583499684407
64.0	0.4469740790984514	15.935506457939256
65.0	0.48441724775402323	16.062983489008797
66.0	0.5238611728496257	16.18714106781956
67.0	0.5653417379738783	16.308100037079207
68.0	0.6088926865427248	16.425975878640845
69.0	0.6545456058812991	16.5408789732917
70.0	0.7023299176178861	16.652914849007093
71.0	0.752272874037054	16.762184417817995
72.0	0.8043995600456086	16.868784201522512
73.0	0.8587329004118742	16.972806546533338
74.0	0.9152936719458845	17.074339828197875
75.0	0.9741005202954903	17.173468644959556
76.0	1.0351699810409845	17.270274002749467
77.0	1.098516504778778	17.36483349000951
78.0	1.1641524858928112	17.45722144375392
79.0	1.2320882947208072	17.547509107075633
80.0	1.3023323128311692	17.635764778500036
81.0	1.374890971135216	17.722053953580907
82.0	1.4497687905686163	17.806439459123904
83.0	1.5269684250852336	17.888981580410846
84.0	1.6064907067161003	17.9697381817854
85.0	1.6883346924559601	18.048764820946907
86.0	1.7724977127495878	18.126114857284826
87.0	1.858975421360037	18.2018395545714
88.0	1.9477618464108688	18.275988178316112
89.0	2.038849442404454	18.348608088070307
90.0	2.132229143028368	18.4197448249566
91.0	2.2278904145718266	18.489442194683512
92.0	2.325821309784006	18.55774234629224
93.0	2.4260085220157492	18.62468584686966
94.0	2.528437439495846	18.690311752448636
95.0	2.633092199602481	18.75465767530516
96.0	2.73995574299967	18.817759847850034
97.0	2.8490098675175926	18.879653183301812
98.0	2.9602352816645037	18.940371333317515
99.0	3.07361165766645	18.999946742747312
100.0	3.189117683939357	19.05841070167051
101.0	3.306731116905979	19.115793394860543
102.0	3.426428832078021	19.17212394881903
103.0	3.5481868743310527	19.227430476510264
104.0	3.671980507307034	19.281740119920478
105.0	3.797784261886033	19.33507909055894
106.0	3.925571983675203	19.387472708011114
107.0	4.055316879469274	19.438945436648144
108.0	4.186991562642666	19.489520920590518
109.0	4.320568097438885	19.53922201701863
110.0	4.4560180421281235	19.58807082791733
111.0	4.59331249100887	19.636088730336784
112.0	4.732422115234066	19.683296405247223
113.0	4.873317202446606	19.729713865060706
114.0	5.015967695213113	19.775360479889112
115.0	5.1603432282487045	19.82025500260339
116.0	5.306413164428921	19.864415592755524
117.0	5.4541466295884184	19.907859839421533
118.0	5.603512546108833	19.950604783020015
119.0	5.754479665301236	19.992666936158194
120.0	5.907016598590949	20.034062303554357
121.0	6.061091847514967	20.074806401082824
122.0	6.216673832544338	20.11491427398513
123.0	6.37373092074567	20.154400514288817
124.0	6.532231452297883	20.193279277472634
125.0	6.6921437658816405	20.231564298415254
126.0	6.853436222960546	20.26926890666235
127.0	7.016077230974126	20.30640604104501
128.0	7.180035265464069	20.34298826368083
129.0	7.34527889115575	20.379027773387264
130.0	7.511776782018165	20.414536418535242
131.0	7.679497740325956	20.44952570936956
132.0	7.848410714747786	20.48400682982132
133.0	8.018484817485824	20.517990648836083
