T	24/70	160/350
1.0	1.5092822380553506e-116	3.443960152370766e-20
2.0	2.4987677577150335e-58	8.182622409434453e-10
3.0	6.28454594212947e-39	2.3425532415860218e-06
4.0	3.1379214786601044e-29	0.00012656874644740768
5.0	2.0657150644890498e-23	0.0013996429097794636
6.0	1.5647697560142028e-19	0.006988495193607642
7.0	9.260495414499823e-17	0.022104500017676873
8.0	1.1154650081002154e-14	0.05247121304684107
9.0	4.653772171591577e-13	0.10273713644973342
10.0	9.249120235197383e-12	0.1756411049327273
11.0	1.0723582640055808e-10	0.271920747473012
12.0	8.300963098821947e-10	0.39065629763243986
13.0	4.709754636791325e-09	0.5297683283338129
14.0	2.0935060966428228e-08	0.6864991831778989
15.0	7.655098153788713e-08	0.8578025657470422
16.0	2.3884312842720155e-07	1.0406236582805002
17.0	6.538837581437322e-07	1.2320804844407587
18.0	1.605285966701821e-06	1.429567419291476
19.0	3.5951501559255157e-06	1.6308025602006253
20.0	7.446495738542481e-06	1.8338375030023792
21.0	1.4423782287058888e-05	2.0370438022512656
22.0	2.6365964723293817e-05	2.239086369431644
23.0	4.5825199767694936e-05	2.438890769456577
24.0	7.620389530403744e-05	2.635608890801142
25.0	0.00012188316392696576	2.828585691451537
26.0	0.00018833670235517588	3.0173285127551783
27.0	0.0002822254369965399	3.201479660697525
28.0	0.000411469739570526	3.3807924574564296
29.0	0.0005852974567023204	3.555110671650764
30.0	0.0008142672972833762	3.724351075085699
31.0	0.0011102682131956792	3.8884887988403705
32.0	0.001486496264272435	4.047545139336431
33.0	0.001957411077470221	4.20157747366479
34.0	0.0025386744122993985	4.35067096872752
35.0	0.003247073559285813	4.49493180172093
36.0	0.004100432359670058	4.634481644701369
37.0	0.0051175125768643534	4.769453200289044
38.0	0.006317908205027001	4.899986607297566
39.0	0.007721935095156597	5.026226563462404
40.0	0.009350518037478679	5.1483200372658136
41.0	0.011225077179152772	5.2664144622201805
42.0	0.01336741539277786	5.380656325143432
43.0	0.015799607954387382	5.491190075281665
44.0	0.018543895647002	5.5981572939664845
45.0	0.021622582182160732	5.701696075187753
46.0	0.025057936629938923	5.801940576337991
47.0	0.028872101368968724	5.899020705729192
48.0	0.03308700591192091	5.993061919545846
49.0	0.03772428682797389	6.084185105893962
50.0	0.04280521387061199	6.1725065377163455
51.0	0.04835062232494874	6.258137879722447
52.0	0.054380851511765756	6.341186237254529
53.0	0.06091568932364138	6.421754237286944
54.0	0.06797432261999857	6.4999401336202975
55.0	0.07557529327079476	6.575837929860027
56.0	0.08373645961121282	6.649537515019331
57.0	0.09247496305054055	6.721124807609429
58.0	0.1018071995660708	6.790681904916013
59.0	0.11174879580607942	6.858287234843372
60.0	0.12231458952370171	6.9240157082642515
61.0	0.1335186140648943	6.987938870266905
62.0	0.14537408663787568	7.050125049059303
63.0	0.15789340009782435	7.110639501589508
64.0	0.17108811798862666	7.169544555183297
65.0	0.18496897259267867	7.226899744695357
66.0	0.1995458657497529	7.282761944827451
67.0	0.21482787221648703	7.33718549739264
68.0	0.23082324534887833	7.3902223334046155
69.0	0.24753942490107697	7.441922089950338
70.0	0.26498304674466333	7.49233222186618
71.0	0.283159954323302	7.541498108285676
72.0	0.3020752116681595	7.589463154163801
73.0	0.32173311780965924	7.6362688869101705
74.0	0.3421372224309962	7.6819550482834975
75.0	0.3632903426183338	7.726559681713828
76.0	0.3851945805717069	7.770119215228159
77.0	0.40785134214938573	7.812668540160555
78.0	0.43126135612680083	7.854241085830024
79.0	0.4554246940590684	7.894868890369515
80.0	0.48034079064375873	7.9345826678872555
81.0	0.5060084644877478	7.9734118721384215
82.0	0.532425939188862	8.011384756880506
83.0	0.5595908646495412	8.048528433080588
84.0	0.5875003385459321	8.084868923136712
85.0	0.6161509278816978	8.120431212269583
86.0	0.6455386905613839	8.15523929723402
87.0	0.6756591969234743	8.189316232493338
88.0	0.7065075511782336	8.222684173993
89.0	0.7380784127001792	8.255364420663463
90.0	0.7703660171294808	8.2873774537757
91.0	0.8033641972407951	8.318742974266534
92.0	0.8370664035420375	8.349479938144944
93.0	0.8714657245693267	8.379606590084476
94.0	0.9065549068478841	8.409140495301422
95.0	0.9423263744919919	8.438098569812782
96.0	0.9787722484202279	8.466497109163038
97.0	1.0158843651651386	8.49435181570377
98.0	1.0536542952592465	8.521677824505302
99.0	1.0920733611818727	8.548489727975365
100.0	1.1311326548536402	8.574801599255292
101.0	1.17082305466778	8.600627014460338
102.0	1.2111352420494415	8.625979073827002
103.0	1.2520597175361334	8.650870421826472
104.0	1.2935868163742577	8.675313266300089
105.0	1.3357067236283167	8.699319396669438
106.0	1.3784094888009433	8.722900201270686
107.0	1.4216850399633145	8.746066683859972
108.0	1.465523197396787	8.768829479333924
109.0	1.5099136867478216	8.791198868706935
110.0	1.554846151699316	8.813184793384355
111.0	1.6003101661624768	8.834796868768654
112.0	1.6462952459942464	8.856044397233388
113.0	1.6927908602461152	8.876936380497892
114.0	1.7397864419508786	8.897481531433764
115.0	1.787271398454536	8.917688285332387
116.0	1.8352351213011173	8.93756481066122
117.0	1.8836669956787266	8.957119019334883
118.0	1.9325564094355279	8.976358576525717
119.0	1.9818927616747986	8.995290910037133
120.0	2.031665470938486	9.013923219261633
121.0	2.0818639829889776	9.032262483744418
122.0	2.1324777781990614	9.050315471372048
123.0	2.1834963785601578	9.068088746204882
124.0	2.234909354319135	9.085588675970705
125.0	2.286706330254045	9.102821439236223
126.0	2.3388769915992405	9.119793032272053
127.0	2.391411089630318	9.136509275626127
128.0	2.444298446919393	9.152975820419517
129.0	2.497528962271117	9.169198154377987
130.0	2.5510926153498783	9.185181607611923
