wav	band	I_nu	d I_nu
4.618	WISE-2	0.018261638357293532	0.02967838699919545
5.731	IRAC-3	0.05742893619037459	0.031325269180346504
8.0	IRAC-4	0.2630465183511008	0.1101445747273182
8.28	MSX-A	0.16231238169663395	0.0404416513656998
12.082	WISE-3	0.9465782898542938	0.298635935611707
12.13	MSX-C	0.8860610006069515	0.6806065672952961
14.65	MSX-D	0.4770587856802493	0.0941126949670376
21.34	MSX-E	8.391224398463615	1.1477036074438314
22.194	WISE-4	9.985156563723704	4.593239680533974
23.68	MIPS-1	9.299503734867749	4.020285286628958
65.0	AKARI-N60	6.827569025178107	10.714352709631765
70.0	PACS-B	16.8313291351404	8.250873443243906
71.42	MIPS-2	10.877140096085036	7.332166476779513
90.0	AKARI-WideS	7.274431401683437	7.530439561413182
140.0	AKARI-WideL	-4.855883175326937	0.3130528388484777
150.0	PACS-R	4.774510147675951	5.7098380114801595
155.9	MIPS-3	4.1129144910776745	6.501661330576567
250.0	SPIRE-250	0.27576866819199997	3.6656045086553406
350.0	SPIRE-350	-0.1801971721185308	1.6587357032252705
500.0	SPIRE-500	-0.15468620053426585	0.672232771688374
