wav	band	I_nu	d I_nu
4.618	WISE-2	0.013889334634138103	0.011830467195532645
5.731	IRAC-3	0.09076024931160642	0.04463016862634828
8.0	IRAC-4	0.2520735379599044	0.0875448227534672
12.082	WISE-3	0.16045967141523476	0.03058126264062044
22.194	WISE-4	0.19980111865146613	0.3290891372603406
23.68	MIPS-1	0.17004962473524188	0.30762566365534405
65.0	AKARI-N60	2.023996401788036	10.103573850422569
70.0	PACS-B	1.0041418181928992	1.3633805777121029
71.42	MIPS-2	2.267434480497819	1.5835281696925025
90.0	AKARI-WideS	3.8441526152982846	6.068781102660566
140.0	AKARI-WideL	-10.001551836836853	22.272052295226754
150.0	PACS-R	11.983073741689042	1.9096694366724958
155.9	MIPS-3	4.028847968878182	1.9085525690077092
250.0	SPIRE-250	8.754160385544587	0.8216361106442074
350.0	SPIRE-350	4.510382580661666	0.32844490948838134
500.0	SPIRE-500	1.74720962520807	0.18795151963395879
