wav	band	I_nu	d I_nu
4.618	WISE-2	-0.010648165132809667	0.016785145519988595
5.731	IRAC-3	0.045569754265400775	0.02535923543006798
8.0	IRAC-4	0.274890603733712	0.10774652330034011
12.082	WISE-3	0.13279504020178184	0.04515925916223292
22.194	WISE-4	0.1957079243513972	0.24289926278563767
23.68	MIPS-1	0.15935661292213155	0.21235010975100965
65.0	AKARI-N60	-12.427387676084033	7.696505295732377
70.0	PACS-B	2.7871436765584368	1.9254242223319669
71.42	MIPS-2	1.39144558546176	1.9218360429300483
90.0	AKARI-WideS	-9.127113517824668	2.619075238976351
140.0	AKARI-WideL	7.975580119899249	13.48872011401279
150.0	PACS-R	13.890037673329509	0.6413041762149002
155.9	MIPS-3	5.059609912561015	4.49082049993383
250.0	SPIRE-250	10.166266311627592	0.8726087919829265
350.0	SPIRE-350	5.213304074799114	0.42970525856369113
500.0	SPIRE-500	2.0504025956096994	0.2036292343561819
