Wav, micron	sigma, cm^2/H	kappa, cm^2/g	albedo	g
14826033.083512511	2.3166798600000008e-35	1.0654301320022614e-11	3.0389218049061803e-16	2.087278886357077e-05
14776699.283961983	2.3323011100000006e-35	1.0726142711390087e-11	3.0590804573642713e-16	2.087279206190617e-05
14727530.987564925	2.348027540000001e-35	1.0798467820612666e-11	3.0793732601172976e-16	2.0861651452778514e-05
14678525.799601426	2.363859960000001e-35	1.0871280372842109e-11	3.0998006046517224e-16	2.0861651554977562e-05
14629686.07131972	2.3797992300000012e-35	1.0944584323177828e-11	3.1203627860909916e-16	2.0817849483928012e-05
14581004.755933646	2.3958458800000009e-35	1.1018382109064799e-11	3.1410618535320797e-16	2.081784740000834e-05
14532488.876750153	2.412001010000001e-35	1.1092678789351102e-11	3.16189810634449e-16	2.0817849546526122e-05
14484133.75906946	2.428264750000001e-35	1.11674749619006e-11	3.182873053043329e-16	2.0817847319759397e-05
14435937.12579542	2.444638370000001e-35	1.1242776467383341e-11	3.2039867576814634e-16	2.081784718635676e-05
14387903.559396958	2.4611220300000005e-35	1.1318584041631774e-11	3.2252403917858544e-16	2.0774043349773388e-05
14340028.491372397	2.477717440000001e-35	1.1394905548855185e-11	3.2466347275700645e-16	2.0774044766784953e-05
14292314.18267709	2.494424400000001e-35	1.1471740069263009e-11	3.268171691012162e-16	2.077404300830565e-05
14244756.149142595	2.5112440000000007e-35	1.1549092615713796e-11	3.2898514374947224e-16	2.0774043451410064e-05
14197358.855369076	2.52817701e-35	1.1626966729401196e-11	3.3116749122681087e-16	2.0762903925412317e-05
14150117.855586877	2.5452242800000007e-35	1.1705366319435093e-11	3.333642830135974e-16	2.0719102982103083e-05
14103035.353618922	2.562386620000001e-35	1.1784295110967248e-11	3.3557563802764457e-16	2.0716268626792607e-05
14056106.98546904	2.5796644400000007e-35	1.1863754989568304e-11	3.378017127033777e-16	2.0716268606871513e-05
14009337.10028842	2.5970588700000005e-35	1.1943751152054922e-11	3.400425019425916e-16	2.0716268805585595e-05
13962721.37113924	2.614570760000001e-35	1.2024287507536985e-11	3.422981928559469e-16	2.0716267524705753e-05
13916261.945554458	2.632200320000001e-35	1.2105365021794573e-11	3.44568852505876e-16	2.067246274057781e-05
13869956.685281102	2.649949310000001e-35	1.2186991788984611e-11	3.4685451419106567e-16	2.0672464746173526e-05
13823805.59363923	2.6678173100000005e-35	1.226916587754692e-11	3.491554509813866e-16	2.067246483142407e-05
13777808.663703635	2.685806330000001e-35	1.2351896531376629e-11	3.5147154160404397e-16	2.06724629581539e-05
13731963.810854847	2.703916410000001e-35	1.2435183934431842e-11	3.5380306705450253e-16	2.0672463664286156e-05
13686271.049394833	2.722148700000001e-35	1.251903337550828e-11	3.5615002631266965e-16	2.061752066873408e-05
13640732.423572265	2.7405040300000013e-35	1.2603448671736758e-11	3.585125096006516e-16	2.0617520825493057e-05
13595343.833251914	2.758983030000001e-35	1.268843272045754e-11	3.608907254920664e-16	2.0617519426484706e-05
13550105.303038746	2.77758642e-35	1.2773988832916638e-11	3.6328474211218236e-16	2.061752117786904e-05
13505018.847053442	2.7963156200000005e-35	1.2860123539627029e-11	3.6569455836820015e-16	2.061751863416421e-05
13460082.443004964	2.8151709800000014e-35	1.294683845022219e-11	3.681204128390097e-16	2.0573717695067084e-05
13415294.111936213	2.8341534800000006e-35	1.3034138071675853e-11	3.705622963294845e-16	2.0573715521031765e-05
13370655.837999258	2.8532639800000014e-35	1.3122026359087433e-11	3.730204550943791e-16	2.0573716276940905e-05
13326165.648622619	2.872503230000002e-35	1.3210506761671522e-11	3.7549488714169323e-16	2.057371581483268e-05
13281823.54777022	2.891872220000001e-35	1.3299583832391382e-11	3.779857563862208e-16	2.0573715695380463e-05
13237629.529551774	2.9113719900000004e-35	1.3389262354157929e-11	3.804931204428465e-16	2.0518772647098512e-05
13193583.578386307	2.931003150000002e-35	1.3479545132332376e-11	3.830171146151785e-16	2.0518774190421632e-05
13149681.877186298	2.950766610000001e-35	1.3570436351961749e-11	3.855578782464262e-16	2.0518772214560145e-05
13105928.233833902	2.9706635900000013e-35	1.3661941623768475e-11	3.8811546357694424e-16	2.051877426040303e-05
13062318.862375151	2.9906945700000016e-35	1.375406315524989e-11	3.906899854059652e-16	2.0515939774399853e-05
13018855.642589018	3.0108604600000007e-35	1.3846805131453032e-11	3.932816784468317e-16	2.047213708177871e-05
12975534.856668713	3.031162800000001e-35	1.3940174634765222e-11	3.9589050255037426e-16	2.0472136912292636e-05
12932360.211041372	3.0516015200000015e-35	1.4034171343259756e-11	3.985165929426459e-16	2.0471416420953656e-05
12889329.839646563	3.072178350000002e-35	1.4128803213124971e-11	4.011601804214911e-16	2.0471416412410268e-05
12846440.106360635	3.092893890000002e-35	1.4224073003732544e-11	4.0382125912473486e-16	2.047141557682691e-05
12803694.652098907	3.1137492500000006e-35	1.4319985819920073e-11	4.065000162832635e-16	2.0427612696312257e-05
12761091.655421421	3.134744990000001e-35	1.441654423710114e-11	4.09196527270947e-16	2.0416473199231713e-05
12718631.107121972	3.1558823400000016e-35	1.4513753911987677e-11	4.1191093232518907e-16	2.0416471992173456e-05
