wav	band	I_nu	d I_nu
4.618	WISE-2	0.06086858817270833	0.11691305174622298
5.731	IRAC-3	0.3795947126583461	0.09974798029447018
8.0	IRAC-4	1.0102724617596959	0.06909104347431638
8.28	MSX-A	0.9906176546743868	0.19368612710216618
12.082	WISE-3	4.227644628580156	0.027224821159945973
12.13	MSX-C	5.330920115352322	0.287027634940986
14.65	MSX-D	12.94932376040438	1.2369717229773753
21.34	MSX-E	34.89110353635246	8.157546493181105
22.194	WISE-4	54.56091131559735	3.4711067073046116
23.68	MIPS-1	56.88028025895905	3.5411882265666
65.0	AKARI-N60	29.611483854406025	13.938944199505976
70.0	PACS-B	59.32150090691343	8.802528312354784
71.42	MIPS-2	32.11459951730047	8.390602628276916
90.0	AKARI-WideS	18.90689017233835	7.0967418682464505
140.0	AKARI-WideL	18.593951978181536	1.2970289578747796
155.9	MIPS-3	5.279013049214754	7.349812437996036
160.0	PACS-R	14.818453749016868	7.28898886607669
250.0	SPIRE-250	6.007013250856801	5.488832983652475
363.0	SPIRE-350	2.705912475222462	2.868318836944253
517.0	SPIRE-500	1.0463329321375436	1.2905520266297872
